cnae_classe;regiao_administrativa;saldo
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;São José dos Campos;    -2
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;São Paulo;  -217
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Sorocaba;     3
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Araçatuba;    -3
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Barretos;    -6
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Bauru;   -21
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Campinas;   -61
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Franca;   -11
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Itapeva;    -2
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Marília;   -12
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Presidente Prudente;   -49
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Região Administrativa Central;   -30
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Registro;     1
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Ribeirão Preto;  -277
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Santos;   -33
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;São José do Rio Preto;  -390
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;São José dos Campos;   -45
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;São Paulo;   121
Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Sorocaba;   -16
Atividades auxiliares dos transportes aéreos;Araçatuba;   -21
Atividades auxiliares dos transportes aéreos;Bauru;     0
Atividades auxiliares dos transportes aéreos;Campinas;  -419
Atividades auxiliares dos transportes aéreos;Marília;    -1
Atividades auxiliares dos transportes aéreos;Presidente Prudente;    -1
Atividades auxiliares dos transportes aéreos;Região Administrativa Central;    -5
Atividades auxiliares dos transportes aéreos;Ribeirão Preto;  -187
Atividades auxiliares dos transportes aéreos;São José do Rio Preto;    -9
Atividades auxiliares dos transportes aéreos;São José dos Campos;    -1
Atividades auxiliares dos transportes aéreos;São Paulo; -2904
Atividades auxiliares dos transportes aéreos;Sorocaba;    -3
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;Bauru;    -3
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;Campinas;     1
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;Santos;     1
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;São José dos Campos;   -11
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;São Paulo;     1
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Araçatuba;    -2
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Barretos;    -3
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Bauru;    -6
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Campinas;   -33
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Franca;     1
